Task,sim_cabot,sim_riverway,real_wood_island,real_hersey,real_maverick,real_riverway,real_ruggles,real_salem,real_davis,real_milton,real_wollaston,sim_total,real_total,total
PutOrangeOnSaucer,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,49.0,98.0
PutGreenAppleInCenterOfTable,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,49.0,98.0
PutKiwiInCenterOfTable,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,49.0,98.0
PutBananaInCenterOfTable,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,49.0,98.0
PutKiwiOnSaucer,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,49.0,98.0
PutOrangeInCenterOfTable,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,49.0,98.0
PutBananaOnSaucer,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,49.0,98.0
PutGreenAppleOnSaucer,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,49.0,98.0
PutSpatulaInUtensilCrockFromDryingRack,0.0,196.0,0.0,0.0,96.0,95.0,0.0,0.0,0.0,0.0,0.0,196.0,191.0,387.0
BimanualPutSpatulaOnPlateFromDryingRack,0.0,196.0,0.0,96.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,196.0,192.0,388.0
PutSpatulaInUtensilCrock,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
PutMugOnSaucer,196.0,0.0,0.0,98.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,196.0,196.0,392.0
PutCupInCenterOfTable,196.0,0.0,0.0,98.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,196.0,196.0,392.0
BimanualPutSpatulaOnPlateFromTable,0.0,196.0,0.0,98.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
PushCoasterToMug,196.0,0.0,98.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,196.0,196.0,392.0
BimanualHangMugsOnMugHolderFromTable,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
BimanualStackPlatesOnTableFromTable,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
BimanualHangMugsOnMugHolderFromDryingRack,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
BimanualStoreCerealBoxUnderShelf,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
BimanualPutSpatulaOnTableFromUtensilCrock,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
BimanualPutSpatulaOnTableFromDryingRack,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
PlaceCupByCoaster,196.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,98.0,0.0,196.0,196.0,392.0
BimanualPlacePearFromBowlOnCuttingBoard,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
BimanualLayCerealBoxOnCuttingBoardFromTopShelf,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
BimanualPlacePearFromBowlIntoBin,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
BimanualPlaceFruitFromBowlIntoBin,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
PlaceCupOnCoaster,196.0,0.0,0.0,98.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,196.0,196.0,392.0
PushCoasterToCenterOfTable,196.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,98.0,0.0,196.0,196.0,392.0
BimanualPlaceFruitFromBowlOnCuttingBoard,0.0,196.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,392.0
PutCupOnSaucer,196.0,0.0,0.0,0.0,0.0,0.0,49.0,98.0,49.0,0.0,0.0,196.0,196.0,392.0
BimanualPlaceAvocadoFromBowlOnCuttingBoard,0.0,196.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,196.0,197.0,393.0
BimanualPutMugsOnPlatesFromTable,0.0,196.0,95.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,196.0,283.0,479.0
BimanualPlaceAppleFromBowlIntoBin,0.0,196.0,97.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,196.0,292.0,488.0
BimanualPutRedBellPepperInBin,0.0,196.0,0.0,99.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,196.0,293.0,489.0
BimanualPlaceAppleFromBowlOnCuttingBoard,0.0,196.0,0.0,100.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,196.0,293.0,489.0
BimanualLayCerealBoxOnCuttingBoardFromUnderShelf,0.0,196.0,97.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,196.0,294.0,490.0
BimanualStackPlatesOnTableFromDryingRack,0.0,196.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,196.0,392.0,588.0
TurnCupUpsideDown,490.0,0.0,0.0,121.0,0.0,0.0,122.0,122.0,0.0,125.0,0.0,490.0,490.0,980.0
TurnMugRightsideUp,490.0,0.0,0.0,121.0,0.0,0.0,0.0,122.0,122.0,125.0,0.0,490.0,490.0,980.0
